#ボスID,キャラID,#,
#,,#,
#,,#,
40030002,10000208,#,
40030003,10000209,#,
,,#,
40031001,10002017,#,
40031002,10002018,#,
,,#,
40032001,10001039,#,
40032002,10001039,#,
40032003,10001040,#,
,,#,
40033001,10103001,#,
40033002,10103001,#,
40033003,10103002,#,
,,#,
40034001,10103009,#,
40034002,10103009,#,
40034003,10103010,#,
,,#,
40035001,10103003,#,
40035002,10103003,#,
40035003,10103004,#,
,,#,
40036003,10103005,#,
40036005,10103006,#,
,,#,
40037003,10103007,#,
40037005,10103008,#,
,,#,
,,#,
40038001,10107012,#,
40038002,10107012,#,
40038003,10107013,#,
,,#,
40039001,10107014,#,
40039002,10107014,#,
40039003,10107015,#,
,,#,
40040003,10107016,#,
40040004,10107017,#,
,,#,
40041003,10107018,#,
40041004,10107019,#,
,,#,
40042001,10107020,#,
40042002,10107020,#,
40042003,10107021,#,
,,#,
,,#,
40043003,10108019,#,
40043004,10108020,#,
,,#,
40044003,10108021,#,
40044004,10108022,#,
,,#,
40045001,10108023,#,
40045002,10108023,#,
40045003,10108024,#,
,,#,
40046001,10108025,#,
40046002,10108025,#,
40046003,10108026,#,
,,#,
40047001,10108027,#,
40047002,10108027,#,
40047003,10108028,#,
,,#,
,,#,
40048001,10109011,#,
40048002,10109011,#,
40048003,10109012,#,
,,#,
40049003,10109013,#,
40049004,10109014,#,
,,#,
40050001,10109015,#,
40050002,10109015,#,
40050003,10109016,#,
,,#,
40051001,10109017,#,
40051002,10109017,#,
40051003,10109018,#,
,,#,
40052003,10109019,#,
40052004,10109020,#,
,,#,
,,#,
40053003,10110011,#,
40053004,10110012,#,
,,#,
40054001,10110013,#,
40054002,10110013,#,
40054003,10110014,#,
,,#,
40055001,10110015,#,
40055002,10110015,#,
40055003,10110016,#,
,,#,
40056003,10110017,#,
40056004,10110018,#,
,,#,
40057001,10110019,#,
40057002,10110019,#,
40057003,10110020,#,
,,#,
,,#,
40058001,10111011,#,
40058002,10111011,#,
40058003,10111012,#,
,,#,
40059001,10111013,#,
40059002,10111013,#,
40059003,10111014,#,
,,#,
40060003,10111017,#,
40060004,10111018,#,
,,#,
40061001,10111015,#,
40061002,10111015,#,
40061003,10111016,#,
,,#,
40062003,10111019,#,
40062004,10111020,#,
,,#,
,,#,
40063003,10113041,#,
40063004,10113042,#,
40063005,10113042,#,
,,#,
40064001,10113043,#,
40064002,10113043,#,
40064003,10113044,#,
,,#,
40065003,10113045,#,
40065004,10113046,#,
40065005,10113046,#,
,,#,
40066001,10113047,#,
40066002,10113047,#,
40066003,10113048,#,
,,#,
40067001,10113049,#,
40067002,10113049,#,
40067003,10113050,#,
,,#,
,,#,
40068003,10114029,#,
40068004,10114030,#,
40068005,10114030,#,
,,#,
40069001,10114035,#,
40069002,10114035,#,
40069003,10114036,#,
,,#,
40070001,10114031,#,
40070002,10114031,#,
40070003,10114032,#,
,,#,
40071003,10114027,#,
40071004,10114028,#,
40071005,10114028,#,
,,#,
40072001,10114033,#,
40072002,10114033,#,
40072003,10114034,#,
,,#,
,,#,
40073001,10115013,#,
40073002,10115013,#,
40073003,10115014,#,
,,#,
40074001,10115015,#,
40074002,10115015,#,
40074003,10115016,#,
,,#,
40075003,10115017,#,
40075004,10115018,#,
40075005,10115018,#,
,,#,
40076001,10115019,#,
40076002,10115019,#,
40076003,10115020,#,
,,#,
40077003,10115021,#,
40077004,10115022,#,
40077005,10115022,#,
,,#,
,,#,
40078001,10116013,#,
40078002,10116013,#,
40078003,10116014,#,
,,#,
40079003,10116015,#,
40079004,10116016,#,
40079005,10116016,#,
,,#,
40080001,10116017,#,
40080002,10116017,#,
40080003,10116018,#,
,,#,
40081003,10116019,#,
40081004,10116020,#,
40081005,10116020,#,
,,#,
40082001,10116021,#,
40082002,10116021,#,
40082003,10116022,#,
,,#,
,,#,
40083003,10117019,#,
40083004,10117020,#,
40083005,10117020,#,
,,#,
40084001,10117013,#,
40084002,10117013,#,
40084003,10117014,#,
,,#,
40085001,10117017,#,
40085002,10117017,#,
40085003,10117018,#,
,,#,
40086003,10117015,#,
40086004,10117016,#,
40086005,10117016,#,
,,#,
40087001,10117021,#,
40087002,10117021,#,
40087003,10117022,#,
,,#,
,,#,
40088001,10109011,#,
40088002,10109011,#,
40088003,10109012,#,
,,#,
40089003,10109013,#,
40089004,10109014,#,
,,#,
40090001,10109015,#,
40090002,10109015,#,
40090003,10109016,#,
,,#,
40091001,10109017,#,
40091002,10109017,#,
40091003,10109018,#,
,,#,
40092003,10109019,#,
40092004,10109020,#,
,,#,
40093003,10110011,#,
40093004,10110012,#,
,,#,
40094001,10110013,#,
40094002,10110013,#,
40094003,10110014,#,
,,#,
40095001,10110015,#,
40095002,10110015,#,
40095003,10110016,#,
,,#,
40096003,10110017,#,
40096004,10110018,#,
,,#,
40097001,10110019,#,
40097002,10110019,#,
40097003,10110020,#,
,,#,
40098001,10111011,#,
40098002,10111011,#,
40098003,10111012,#,
,,#,
40099001,10111013,#,
40099002,10111013,#,
40099003,10111014,#,
,,#,
40100003,10111017,#,
40100004,10111018,#,
,,#,
40101001,10111015,#,
40101002,10111015,#,
40101003,10111016,#,
,,#,
40102003,10111019,#,
40102004,10111020,#,
,,#,
,,#,
40103001,10118013,#,
40103002,10118014,#,
40103003,10118014,#,
,,#,
40104003,10118015,#,
40104004,10118015,#,
40104005,10118016,#,
,,#,
40105001,10118017,#,
40105002,10118017,#,
40105003,10118018,#,
,,#,
40106003,10118019,#,
40106004,10118019,#,
40106005,10118020,#,
,,#,
40107001,10118021,#,
40107002,10118022,#,
40107003,10118022,#,
,,#,
,,#,
40108001,10119021,#,
40108002,10119021,#,
40108003,10119022,#,
,,#,
40109003,10119015,#,
40109004,10119016,#,
40109005,10119016,#,
,,#,
40110001,10119019,#,
40110002,10119019,#,
40110003,10119020,#,
,,#,
40111003,10119017,#,
40111004,10119018,#,
40111005,10119018,#,
,,#,
40112001,10119023,#,
40112002,10119023,#,
40112003,10119024,#,
,,#,
,,#,
40113001,10120033,#,
40113002,10120033,#,
40113003,10120034,#,
,,#,
40114001,10120035,#,
40114002,10120035,#,
40114003,10120036,#,
,,#,
40115003,10120027,#,
40115004,10120028,#,
40115005,10120028,#,
,,#,
40116003,10120029,#,
40116004,10120030,#,
40116005,10120030,#,
,,#,
40117001,10120031,#,
40117002,10120031,#,
40117003,10120032,#,
,,#,
,,#,
40118003,10121024,#,
40118004,10121025,#,
40118005,10121025,#,
,,#,
40119001,10121026,#,
40119002,10121026,#,
40119003,10121027,#,
,,#,
40120001,10121028,#,
40120002,10121028,#,
40120003,10121029,#,
,,#,
40121003,10121020,#,
40121004,10121021,#,
40121005,10121021,#,
,,#,
40122001,10121030,#,
40122002,10121030,#,
40122003,10121031,#,
,,#,
,,#,
40123003,10122019,#,
40123004,10122020,#,
40123005,10122020,#,
,,#,
40124001,10122023,#,
40124002,10122023,#,
40124003,10122024,#,
,,#,
40125001,10122027,#,
40125002,10122027,#,
40125003,10122028,#,
,,#,
40126001,10122025,#,
40126002,10122025,#,
40126003,10122026,#,
,,#,
40127003,10122021,#,
40127004,10122021,#,
40127005,10122022,#,
,,#,
,,#,
40128003,10123029,#,
40128004,10123029,#,
40128005,10123029,#,
,,#,
40129003,10123031,#,
40129004,10123031,#,
40129005,10123031,#,
,,#,
40130001,10123037,#,
40130002,10123037,#,
40130003,10123037,#,
,,#,
40131001,10123033,#,
40131002,10123033,#,
40131003,10123033,#,
,,#,
40132001,10123035,#,
40132002,10123035,#,
40132003,10123035,#,
,,#,
,,#,
40133001,10124022,#,
40133002,10124022,#,
40133003,10124022,#,
,,#,
40134001,10124024,#,
40134002,10124024,#,
40134003,10124024,#,
,,#,
40135003,10124020,#,
40135004,10124020,#,
40135005,10124020,#,
,,#,
40136003,10124018,#,
40136004,10124018,#,
40136005,10124018,#,
,,#,
40137001,10124026,#,
40137002,10124026,#,
40137003,10124026,#,
,,#,
,,#,
40138001,10125024,#,
40138002,10125024,#,
40138003,10125025,#,
,,#,
40139003,10125020,#,
40139004,10125020,#,
40139005,10125021,#,
,,#,
40140001,10125026,#,
40140002,10125026,#,
40140003,10125027,#,
,,#,
40141001,10125028,#,
40141002,10125028,#,
40141003,10125029,#,
,,#,
40142003,10125022,#,
40142004,10125023,#,
40142005,10125023,#,
,,#,
,,#,
40143003,10126023,#,
40143004,10126023,#,
40143005,10126023,#,
40143006,10126023,#,
,,#,
40144001,10126026,#,
40144002,10126026,#,
40144003,10126026,#,
,,#,
40145001,10126030,#,
40145002,10126030,#,
40145003,10126030,#,
,,#,
40146003,10126021,#,
40146004,10126021,#,
40146005,10126021,#,
40146006,10126021,#,
,,#,
40147001,10126028,#,
40147002,10126028,#,
40147003,10126028,#,
,,#,
,,#,
40148001,10127023,#,
40148002,10127023,#,
40148003,10127024,#,
,,#,
40149001,10127025,#,
40149002,10127025,#,
40149003,10127026,#,
,,#,
40150001,10127027,#,
40150002,10127027,#,
40150003,10127028,#,
,,#,
40151003,10127021,#,
40151004,10127022,#,
40151005,10127022,#,
,,#,
40152003,10127019,#,
40152004,10127019,#,
40152005,10127020,#,
,,#,
,,#,
40153003,10128020,#,
40153004,10128020,#,
40153005,10128020,#,
,,#,
40154001,10128022,#,
40154002,10128022,#,
40154003,10128022,#,
,,#,
40155003,10128018,#,
40155004,10128018,#,
40155005,10128018,#,
,,#,
40156001,10128026,#,
40156002,10128026,#,
40156003,10128026,#,
,,#,
40157001,10128024,#,
40157002,10128024,#,
40157003,10128024,#,
,,#,
,,#,
40158003,10129019,#,
40158004,10129020,#,
40158005,10129020,#,
,,#,
40159003,10129021,#,
40159004,10129022,#,
40159005,10129022,#,
,,#,
40160001,10129025,#,
40160002,10129025,#,
40160003,10129026,#,
,,#,
40161001,10129023,#,
40161002,10129023,#,
40161003,10129024,#,
,,#,
40162001,10129027,#,
40162002,10129027,#,
40162003,10129028,#,
,,#,
,,#,
40163001,10130023,#,
40163002,10130023,#,
40163003,10130024,#,
,,#,
40164003,10130021,#,
40164004,10130022,#,
40164005,10130022,#,
,,#,
40165003,10130019,#,
40165004,10130020,#,
40165005,10130020,#,
,,#,
40166001,10130025,#,
40166002,10130025,#,
40166003,10130026,#,
,,#,
40167001,10130027,#,
40167002,10130028,#,
40167003,10130028,#,
,,#,
,,#,
40168001,10130023,#,
40168002,10130023,#,
40168003,10130024,#,
,,#,
40169003,10130021,#,
40169004,10130022,#,
40169005,10130022,#,
,,#,
40170003,10130019,#,
40170004,10130020,#,
40170005,10130020,#,
,,#,
40171001,10130025,#,
40171002,10130025,#,
40171003,10130026,#,
,,#,
40172001,10130027,#,
40172002,10130028,#,
40172003,10130028,#,
,,#,
,,#,
40173001,10131027,#,
40173002,10131027,#,
40173003,10131028,#,
,,#,
40174001,10131025,#,
40174002,10131025,#,
40174003,10131026,#,
,,#,
40175001,10131023,#,
40175002,10131023,#,
40175003,10131024,#,
,,#,
40176003,10131021,#,
40176004,10131022,#,
40176005,10131022,#,
,,#,
40177003,10131019,#,
40177004,10131020,#,
40177005,10131020,#,
,,#,
,,#,
40178003,10132017,#,
40178004,10132018,#,
40178005,10132018,#,
,,#,
40179001,10132025,#,
40179002,10132025,#,
40179003,10132026,#,
,,#,
40180001,10132021,#,
40180002,10132021,#,
40180003,10132022,#,
,,#,
40181001,10132023,#,
40181002,10132023,#,
40181003,10132024,#,
,,#,
40182001,10132019,#,
40182002,10132020,#,
40182003,10132020,#,
,,#,
,,#,
40183003,10133029,#,
40183004,10133029,#,
40183005,10133030,#,
,,#,
40184003,10133027,#,
40184004,10133028,#,
40184005,10133028,#,
,,#,
40185001,10133033,#,
40185002,10133033,#,
40185003,10133034,#,
,,#,
40186001,10133035,#,
40186002,10133035,#,
40186003,10133036,#,
,,#,
40187001,10133031,#,
40187002,10133031,#,
40187003,10133032,#,
,,#,
,,#,
40188003,10133029,#,
40188004,10133029,#,
40188005,10133030,#,
,,#,
40189003,10133027,#,
40189004,10133028,#,
40189005,10133028,#,
,,#,
40190001,10133033,#,
40190002,10133033,#,
40190003,10133034,#,
,,#,
40191001,10133035,#,
40191002,10133035,#,
40191003,10133036,#,
,,#,
40192001,10133031,#,
40192002,10133031,#,
40192003,10133032,#,
,,#,
,,#,
40193001,10134027,#,
40193002,10134027,#,
40193003,10134028,#,
,,#,
40194001,10134029,#,
40194002,10134029,#,
40194003,10134030,#,
,,#,
40195001,10134025,#,
40195002,10134025,#,
40195003,10134026,#,
,,#,
40196003,10134021,#,
40196004,10134022,#,
40196005,10134022,#,
,,#,
40197003,10134023,#,
40197004,10134024,#,
40197005,10134024,#,
,,#,
,,#,
40198003,10135023,#,
40198004,10135024,#,
40198005,10135024,#,
40198103,10135023,#,
40198104,10135024,#,
40198105,10135024,#,
40198203,10135023,#,
40198204,10135024,#,
40198205,10135024,#,
40198303,10135023,#,
40198304,10135024,#,
40198305,10135024,#,
,,#,
40199001,10135029,#,
40199002,10135029,#,
40199003,10135030,#,
40199101,10135029,#,
40199102,10135029,#,
40199103,10135030,#,
40199201,10135029,#,
40199202,10135029,#,
40199203,10135030,#,
,,#,
40200001,10135027,#,
40200002,10135027,#,
40200003,10135028,#,
40200101,10135027,#,
40200102,10135027,#,
40200103,10135028,#,
40200201,10135027,#,
40200202,10135027,#,
40200203,10135028,#,
,,#,
40201003,10135021,#,
40201004,10135022,#,
40201005,10135022,#,
40201103,10135021,#,
40201104,10135022,#,
40201105,10135022,#,
40201203,10135021,#,
40201204,10135022,#,
40201205,10135022,#,
,,#,
40202001,10135025,#,
40202002,10135025,#,
40202003,10135026,#,
40202101,10135025,#,
40202102,10135025,#,
40202103,10135026,#,
40202201,10135025,#,
40202202,10135025,#,
40202203,10135026,#,
,,#,
,,#,
40203001,10136025,#,
40203002,10136025,#,
40203003,10136026,#,
,,#,
40204001,10136027,#,
40204002,10136027,#,
40204003,10136028,#,
,,#,
40205001,10136023,#,
40205002,10136023,#,
40205003,10136024,#,
,,#,
40206003,10136021,#,
40206004,10136022,#,
40206005,10136022,#,
,,#,
40207003,10136019,#,
40207004,10136020,#,
40207005,10136020,#,
,,#,
,,#,
40208003,10137021,#,
40208004,10137022,#,
40208005,10137022,#,
,,#,
40209003,10137023,#,
40209004,10137024,#,
40209005,10137024,#,
,,#,
40210001,10137029,#,
40210002,10137029,#,
40210003,10137030,#,
,,#,
40211001,10137025,#,
40211002,10137025,#,
40211003,10137026,#,
,,#,
40212001,10137027,#,
40212002,10137027,#,
40212003,10137028,#,
,,#,
,,#,
40213003,10139023,#,
40213004,10139024,#,
40213005,10139024,#,
,,#,
40214001,10139027,#,
40214002,10139027,#,
40214003,10139028,#,
,,#,
40215001,10139029,#,
40215002,10139029,#,
40215003,10139030,#,
,,#,
40216001,10139025,#,
40216002,10139025,#,
40216003,10139026,#,
,,#,
40217003,10139021,#,
40217004,10139022,#,
40217005,10139022,#,
,,#,
,,#,
40218001,10140029,#,
40218002,10140029,#,
40218003,10140030,#,
,,#,
40219001,10140027,#,
40219002,10140027,#,
40219003,10140028,#,
,,#,
40220001,10140025,#,
40220002,10140025,#,
40220003,10140026,#,
,,#,
40221003,10140023,#,
40221004,10140024,#,
40221005,10140024,#,
,,#,
40222003,10140021,#,
40222004,10140022,#,
40222005,10140022,#,
,,#,
,,#,
40223001,10140029,#,
40223002,10140029,#,
40223003,10140030,#,
,,#,
40224001,10140027,#,
40224002,10140027,#,
40224003,10140028,#,
,,#,
40225001,10140025,#,
40225002,10140025,#,
40225003,10140026,#,
,,#,
40226003,10140023,#,
40226004,10140024,#,
40226005,10140024,#,
,,#,
40227003,10140021,#,
40227004,10140022,#,
40227005,10140022,#,
,,#,
,,#,
40228003,10141017,#,
40228004,10141018,#,
40228005,10141018,#,
,,#,
40229003,10141019,#,
40229004,10141020,#,
40229005,10141020,#,
,,#,
40230001,10141025,#,
40230002,10141025,#,
40230003,10141026,#,
,,#,
40231001,10141021,#,
40231002,10141021,#,
40231003,10141022,#,
,,#,
40232001,10141023,#,
40232002,10141023,#,
40232003,10141024,#,
,,#,
,,#,
40233001,10142021,#,
40233002,10142021,#,
40233003,10142022,#,
,,#,
40234001,10142023,#,
40234002,10142023,#,
40234003,10142024,#,
,,#,
40235001,10142025,#,
40235002,10142025,#,
40235003,10142026,#,
,,#,
40236003,10142017,#,
40236004,10142018,#,
40236005,10142018,#,
,,#,
40237003,10142019,#,
40237004,10142020,#,
40237005,10142020,#,
,,#,
,,#,
40238003,10143013,#,
40238004,10143014,#,
40238005,10143014,#,
,,#,
40239001,10143019,#,
40239002,10143019,#,
40239003,10143020,#,
,,#,
40240001,10143017,#,
40240002,10143017,#,
40240003,10143018,#,
,,#,
40241001,10143015,#,
40241002,10143016,#,
40241003,10143016,#,
,,#,
40242003,10143011,#,
40242004,10143012,#,
40242005,10143012,#,
,,#,
,,#,
40238103,10143013,#,
40238104,10143014,#,
40238105,10143014,#,
,,#,
40239101,10143019,#,
40239102,10143019,#,
40239103,10143020,#,
,,#,
40240101,10143017,#,
40240102,10143017,#,
40240103,10143018,#,
,,#,
40241101,10143015,#,
40241102,10143016,#,
40241103,10143016,#,
,,#,
40242103,10143011,#,
40242104,10143012,#,
40242105,10143012,#,
,,#,
,,#,
40243001,10144001,#,
40243002,10144001,#,
40243003,10144002,#,
,,#,
40244001,10144003,#,
40244002,10144003,#,
40244003,10144004,#,
,,#,
40245003,10144007,#,
40245004,10144008,#,
40245005,10144008,#,
,,#,
40246001,10144005,#,
40246002,10144005,#,
40246003,10144006,#,
,,#,
40247003,10144009,#,
40247004,10144010,#,
40247005,10144010,#,
,,#,
,,#,
40248001,10145001,#,
40248002,10145001,#,
40248003,10145002,#,
,,#,
40249001,10145003,#,
40249002,10145003,#,
40249003,10145004,#,
,,#,
40250003,10145005,#,
40250004,10145006,#,
40250005,10145006,#,
,,#,
40251003,10145007,#,
40251004,10145008,#,
40251005,10145008,#,
,,#,
40252001,10145009,#,
40252002,10145010,#,
40252003,10145010,#,
,,#,
,,#,
40253001,10146015,#,
40253002,10146015,#,
40253003,10146016,#,
,,#,
40254003,10146013,#,
40254004,10146013,#,
40254005,10146013,#,
,,#,
40255003,10146011,#,
40255004,10146011,#,
40255005,10146011,#,
,,#,
40256001,10146017,#,
40256002,10146017,#,
40256003,10146018,#,
,,#,
40257001,10146019,#,
40257002,10146019,#,
40257003,10146020,#,
,,#,
,,#,
40258003,10147001,#,
40258103,10147001,#,
40258004,10147002,#,
40258104,10147002,#,
40258005,10147002,#,
40258105,10147002,#,
,,#,
40259001,10147003,#,
40259002,10147003,#,
40259003,10147004,#,
,,#,
40260001,10147005,#,
40260002,10147005,#,
40260003,10147006,#,
,,#,
40261001,10147007,#,
40261002,10147007,#,
40261003,10147008,#,
,,#,
40262003,10147009,#,
40262103,10147009,#,
40262004,10147010,#,
40262104,10147010,#,
40262005,10147010,#,
40262105,10147010,#,
,,#,
,,#,
40263001,10148001,#,
40263002,10148001,#,
40263003,10148002,#,
,,#,
40264001,10148003,#,
40264002,10148003,#,
40264003,10148004,#,
,,#,
40265003,10148005,#,
40265103,10148005,#,
40265004,10148006,#,
40265104,10148006,#,
40265005,10148006,#,
40265105,10148006,#,
,,#,
40266003,10148007,#,
40266103,10148007,#,
40266004,10148008,#,
40266104,10148008,#,
40266005,10148008,#,
40266105,10148008,#,
,,#,
40267001,10148009,#,
40267002,10148009,#,
40267003,10148010,#,
,,#,
,,#,
40268002,60400015,#,
40268004,60400015,#,
40268006,60400015,#,
40268008,60400015,#,
40268012,60400015,#,
40268014,60400015,#,
40268016,60400015,#,
40268018,60400015,#,
40268124,10149003,#,
40268125,10149004,#,
40268234,10111005,#,
40268235,10120049,#,
,,#,
,,#,
40269001,60400016,#,
40269002,60400016,#,
40269003,60400016,#,
40269011,60400016,#,
40269012,60400016,#,
40269013,60400016,#,
40269023,60400016,#,
40269024,60400016,#,
40269025,60400016,#,
40269033,60400016,#,
40269034,60400016,#,
40269035,60400016,#,
40269123,60400016,#,
40269124,60400016,#,
40269125,60400016,#,
40269233,60400016,#,
40269234,60400016,#,
40269235,60400016,#,
,,#,
,,#,
40273002,60400020,#,
40273004,60400020,#,
40273006,60400020,#,
40273008,60400020,#,
40273012,60400020,#,
40273014,60400020,#,
40273016,60400020,#,
40273018,60400020,#,
40273134,60400020,#,
40273135,60400020,#,
40273224,60400020,#,
40273225,60400020,#,
,,#,
,,#,
40274002,60400022,#,
40274004,60400022,#,
40274006,60400022,#,
40274008,60400022,#,
40274012,60400022,#,
40274014,60400022,#,
40274016,60400022,#,
40274018,60400022,#,
40274124,60400022,#,
40274125,60400022,#,
40274234,60400022,#,
40274235,60400022,#,
,,#,
,,#,
40275002,60400024,#,
40275004,60400024,#,
40275006,60400024,#,
40275008,60400024,#,
40275012,60400024,#,
40275014,60400024,#,
40275016,60400024,#,
40275018,60400024,#,
40275124,60400024,#,
40275125,60400024,#,
40275234,60400024,#,
40275235,60400024,#,
,,#,
,,#,
40276002,60400031,#,
40276004,60400031,#,
40276006,60400031,#,
40276008,60400031,#,
40276012,60400031,#,
40276014,60400031,#,
40276016,60400031,#,
40276018,60400031,#,
40276124,60400031,#,
40276125,60400031,#,
40276234,60400031,#,
40276235,60400031,#,
,,#,
,,#,
40277002,60400033,#,
40277004,60400033,#,
40277006,60400033,#,
40277008,60400033,#,
40277012,60400033,#,
40277014,60400033,#,
40277016,60400033,#,
40277018,60400033,#,
40277124,60400033,#,
40277125,60400033,#,
40277234,60400033,#,
40277235,60400033,#,
,,#,
,,#,
40278002,60400036,#,
40278004,60400036,#,
40278006,60400036,#,
40278008,60400036,#,
40278012,60400036,#,
40278014,60400036,#,
40278016,60400036,#,
40278018,60400036,#,
40278124,60400036,#,
40278125,60400036,#,
40278234,60400036,#,
40278235,60400036,#,
,,#,
,,#,
40279002,60400038,#,
40279004,60400038,#,
40279006,60400038,#,
40279008,60400038,#,
40279012,60400038,#,
40279014,60400038,#,
40279016,60400038,#,
40279018,60400038,#,
40279124,60400038,#,
40279125,60400038,#,
40279234,60400038,#,
40279235,60400038,#,
,,#,
,,#,
40280002,60400040,#,
40280004,60400040,#,
40280006,60400040,#,
40280008,60400040,#,
40280012,60400040,#,
40280014,60400040,#,
40280016,60400040,#,
40280018,60400040,#,
40280124,60400040,#,
40280125,60400040,#,
40280234,60400040,#,
40280235,60400040,#,
,,#,
,,#,
40281002,60400044,#,
40281004,60400044,#,
40281006,60400044,#,
40281008,60400044,#,
40281012,60400044,#,
40281014,60400044,#,
40281016,60400044,#,
40281018,60400044,#,
40281124,60400044,#,
40281125,60400044,#,
40281234,60400044,#,
40281235,60400044,#,
,,#,
,,#,
40282002,60400048,#,
40282004,60400048,#,
40282006,60400048,#,
40282008,60400048,#,
40282012,60400048,#,
40282014,60400048,#,
40282016,60400048,#,
40282018,60400048,#,
40282124,60400048,#,
40282125,60400048,#,
40282234,60400048,#,
40282235,60400048,#,
,,#,
,,#,
40283002,10166037,#,
40283003,10166037,#,
40283004,10166037,#,
40283005,10166037,#,
,,#,
40284002,10166038,#,
40284003,10166038,#,
40284004,10166038,#,
40284005,10166038,#,
,,#,
,,#,
,,#,
46001003,10128020,#,
46001004,10128020,#,
46001005,10128020,#,
,,#,
46002003,10128018,#,
46002004,10128018,#,
46002005,10128018,#,
,,#,
,,#,
46003003,10136021,#,
46003004,10136022,#,
46003005,10136022,#,
,,#,
46004003,10136019,#,
46004004,10136020,#,
46004005,10136020,#,
,,#,
,,#,
46005005,60400042,#,
,,#,
46005015,60400042,#,
,,#,
46005023,60400042,#,
,,#,
46005033,60400042,#,
,,#,
46005043,60400042,#,
,,#,
46006003,60400043,#,
,,#,
46006013,60400043,#,
,,#,
46006023,60400043,#,
,,#,
46006035,60400043,#,
,,#,
46006045,60400043,#,
,,#,
,,#,
46007003,10147001,#,
46007004,10147002,#,
46007005,10147002,#,
,,#,
46008003,10147009,#,
46008004,10147010,#,
46008005,10147010,#,
,,#,
,,#,
46009003,10128020,#,
46009004,10128020,#,
46009005,10128020,#,
,,#,
46010003,10128018,#,
46010004,10128018,#,
46010005,10128018,#,
,,#,
,,#,
46011001,10145001,#,
46011002,10145001,#,
46011003,10145002,#,
,,#,
46011011,10145003,#,
46011012,10145003,#,
46011013,10145004,#,
,,#,
46011021,10145005,#,
46011022,10145006,#,
46011023,10145006,#,
,,#,
46011031,10145007,#,
46011032,10145008,#,
46011033,10145008,#,
,,#,
46011041,10145009,#,
46011042,10145010,#,
46011043,10145010,#,
,,#,
,,#,
,,#,
47001003,10113041,#,
47001004,10113042,#,
47001005,10113042,#,
,,#,
47002001,10113043,#,
47002002,10113043,#,
47002003,10113044,#,
,,#,
47003003,10113045,#,
47003004,10113046,#,
47003005,10113046,#,
,,#,
47004001,10113047,#,
47004002,10113047,#,
47004003,10113048,#,
,,#,
47005001,10113049,#,
47005002,10113049,#,
47005003,10113050,#,
,,#,
47006001,10115013,#,
47006002,10115013,#,
47006003,10115014,#,
,,#,
47007001,10115015,#,
47007002,10115015,#,
47007003,10115016,#,
,,#,
47008003,10115017,#,
47008004,10115018,#,
47008005,10115018,#,
,,#,
47009001,10115019,#,
47009002,10115019,#,
47009003,10115020,#,
,,#,
47010003,10115021,#,
47010004,10115022,#,
47010005,10115022,#,
,,#,
47011001,10116013,#,
47011002,10116013,#,
47011003,10116014,#,
,,#,
47012003,10116015,#,
47012004,10116016,#,
47012005,10116016,#,
,,#,
47013001,10116017,#,
47013002,10116017,#,
47013003,10116018,#,
,,#,
47014003,10116019,#,
47014004,10116020,#,
47014005,10116020,#,
,,#,
47015001,10116021,#,
47015002,10116021,#,
47015003,10116022,#,
,,#,
,,#,
47016003,60400006,#,
47016004,60400006,#,
47016005,60400006,#,
,,#,
47016013,60400006,#,
47016014,60400006,#,
47016015,60400006,#,
,,#,
47016023,60400006,#,
47016024,60400006,#,
47016025,60400006,#,
,,#,
47016033,60400006,#,
47016034,60400006,#,
47016035,60400006,#,
,,#,
,,#,
47017003,60400014,#,
47017005,60400014,#,
,,#,
47018003,60400014,#,
47018004,60400014,#,
47018005,60400014,#,
,,#,
47019003,60400014,#,
47019005,60400014,#,
,,#,
47020003,60400014,#,
47020004,60400014,#,
47020005,60400014,#,
,,#,
47021003,60400014,#,
47021004,60400014,#,
47021005,60400014,#,
,,#,
47022003,60400014,#,
47022004,60400014,#,
47022005,60400014,#,
,,#,
47023003,60400014,#,
47023004,60400014,#,
47023005,60400014,#,
,,#,
47024003,60400014,#,
47024004,60400014,#,
47024005,60400014,#,
,,#,
,,#,
47025003,60400021,#,
47025005,60400021,#,
,,#,
47025013,60400021,#,
47025015,60400021,#,
,,#,
47025023,60400021,#,
47025024,60400021,#,
47025025,60400021,#,
,,#,
47025033,60400021,#,
47025034,60400021,#,
47025035,60400021,#,
,,#,
47025043,60400021,#,
47025044,60400021,#,
47025045,60400021,#,
,,#,
,,#,
47026003,60400021,#,
47026005,60400021,#,
,,#,
47026013,60400021,#,
47026014,60400021,#,
47026015,60400021,#,
,,#,
47026023,60400021,#,
47026024,60400021,#,
47026025,60400021,#,
,,#,
47026033,60400021,#,
47026034,60400021,#,
47026035,60400021,#,
,,#,
47026043,60400021,#,
47026044,60400021,#,
47026045,60400021,#,
,,#,
,,#,
47027003,60400021,#,
47027005,60400021,#,
,,#,
47027013,60400021,#,
47027014,60400021,#,
47027015,60400021,#,
,,#,
47027023,60400021,#,
47027024,60400021,#,
47027025,60400021,#,
,,#,
47027033,60400021,#,
47027034,60400021,#,
47027035,60400021,#,
,,#,
47027043,60400021,#,
47027044,60400021,#,
47027045,60400021,#,
,,#,
,,#,
47028001,60400021,#,
47028002,60400021,#,
,,#,
47028003,60400021,#,
47028004,60400021,#,
,,#,
47028005,60400021,#,
47028006,60400021,#,
,,#,
