#ページ,ポジション,カードID,
156,3,99980054,
156,4,99980055,
156,5,99980056,
156,6,99980057,
156,7,99980058,
156,8,99980059,
156,9,99980060,
156,10,99980061,
157,1,10128001,
157,2,10128002,
157,3,10128003,
157,4,10128004,
157,5,10128005,
157,6,10128006,
157,7,10128007,
157,8,10128008,
157,9,10128009,
157,10,10128010,
158,1,10128011,
158,2,10128012,
158,3,10128013,
158,4,10128014,
158,5,10128015,
158,6,10128016,
158,7,10128017,
158,8,10128018,
158,9,10128019,
158,10,10128020,
159,1,10128021,
159,2,10128022,
159,3,10128023,
159,4,10128024,
159,5,10128025,
159,6,10128026,
159,7,10128027,
159,8,10128028,
159,9,10128029,
159,10,10128030,
160,1,10128031,
160,2,10128032,
160,3,10128033,
160,4,10128034,
160,5,10128035,
160,6,10128036,
160,7,10128037,
160,8,10128038,
160,9,10128039,
160,10,10128040,
161,1,10128041,
161,2,10128042,
161,3,10128043,
161,4,10128044,
161,5,10128045,
161,6,10128046,
161,7,10128047,
161,8,10128048,
161,9,10128049,
161,10,10128050,
162,1,10128051,
162,2,10128052,
162,3,10129001,
162,4,10129002,
162,5,10129003,
162,6,10129004,
162,7,10129005,
162,8,10129006,
162,9,10129007,
162,10,10129008,
163,1,10129009,
163,2,10129010,
163,3,10129011,
163,4,10129012,
163,5,10129013,
163,6,10129014,
163,7,10129015,
163,8,10129016,
163,9,10129017,
163,10,10129018,
164,1,10129019,
164,2,10129020,
164,3,10129021,
164,4,10129022,
164,5,10129023,
164,6,10129024,
164,7,10129025,
164,8,10129026,
164,9,10129027,
164,10,10129028,
165,1,10129029,
165,2,10129030,
165,3,10129031,
165,4,10129032,
165,5,10129033,
165,6,10129034,
165,7,10129035,
165,8,10129036,
165,9,10129037,
165,10,10129038,
166,1,10129039,
166,2,10129040,
166,3,10129041,
166,4,10129042,
166,5,10129043,
166,6,10129044,
166,7,10129045,
166,8,10129046,
166,9,10129047,
166,10,10129048,
167,1,10130001,
167,2,10130002,
167,3,10130003,
167,4,10130004,
167,5,10130005,
167,6,10130006,
167,7,10130007,
167,8,10130008,
167,9,10130009,
167,10,10130010,
168,1,10130011,
168,2,10130012,
168,3,10130013,
168,4,10130014,
168,5,10130015,
168,6,10130016,
168,7,10130017,
168,8,10130018,
168,9,10130019,
168,10,10130020,
169,1,10130021,
169,2,10130022,
169,3,10130023,
169,4,10130024,
169,5,10130025,
169,6,10130026,
169,7,10130027,
169,8,10130028,
169,9,10130029,
169,10,10130030,
170,1,10130031,
170,2,10130032,
170,3,10130033,
170,4,10130034,
170,5,10130039,
170,6,10130040,
170,7,10130049,
170,8,10130050,
170,9,10130051,
170,10,10130052,
171,1,10131001,
171,2,10131002,
171,3,10131003,
171,4,10131004,
171,5,10131005,
171,6,10131006,
171,7,10131007,
171,8,10131008,
171,9,10131009,
171,10,10131010,
172,1,10131011,
172,2,10131012,
172,3,10131013,
172,4,10131014,
172,5,10131015,
172,6,10131016,
172,7,10131017,
172,8,10131018,
172,9,10131019,
172,10,10131020,
173,1,10131021,
173,2,10131022,
173,3,10131023,
173,4,10131024,
173,5,10131025,
173,6,10131026,
173,7,10131027,
173,8,10131028,
173,9,10131029,
173,10,10131030,
174,1,10131031,
174,2,10131032,
174,3,10131033,
174,4,10131034,
174,5,10131035,
174,6,10131036,
174,7,10131037,
174,8,10131038,
174,9,10131039,
174,10,10131040,
175,1,10131041,
175,2,10131042,
175,3,10131043,
175,4,10131044,
175,5,10131045,
175,6,10131046,
175,7,10131047,
175,8,10132001,
175,9,10132002,
175,10,10132003,
176,1,10132004,
176,2,10132005,
176,3,10132006,
176,4,10132007,
176,5,10132008,
176,6,10132009,
176,7,10132010,
176,8,10132011,
176,9,10132012,
176,10,10132013,
177,1,10132014,
177,2,10132015,
177,3,10132016,
177,4,10132017,
177,5,10132018,
177,6,10132019,
177,7,10132020,
177,8,10132021,
177,9,10132022,
177,10,10132023,
178,1,10132024,
178,2,10132025,
178,3,10132026,
178,4,10132027,
178,5,10132028,
178,6,10132029,
178,7,10132030,
178,8,10132031,
178,9,10132032,
178,10,10132033,
179,1,10132034,
179,2,10132035,
179,3,10132036,
179,4,10132037,
179,5,10132038,
179,6,10132039,
179,7,10132040,
179,8,10132041,
179,9,10132042,
179,10,10132043,
180,1,10132044,
180,2,10132045,
180,3,10132046,
180,4,10132047,
180,5,10132048,
180,6,10133001,
180,7,10133002,
180,8,10133003,
180,9,10133004,
180,10,10133005,
181,1,10133006,
181,2,10133007,
181,3,10133008,
181,4,10133009,
181,5,10133010,
181,6,10133011,
181,7,10133012,
181,8,10133013,
181,9,10133014,
181,10,10133015,
182,1,10133016,
182,2,10133017,
182,3,10133018,
182,4,10133019,
182,5,10133020,
182,6,10133021,
182,7,10133022,
182,8,10133023,
182,9,10133024,
182,10,10133025,
183,1,10133026,
183,2,10133027,
183,3,10133028,
183,4,10133029,
183,5,10133030,
183,6,10133031,
183,7,10133032,
183,8,10133033,
183,9,10133034,
183,10,10133035,
184,1,10133036,
184,2,10133037,
184,3,10133038,
184,4,10133039,
184,5,10133040,
184,6,10133041,
184,7,10133042,
184,8,10133043,
184,9,10133044,
184,10,10133045,
185,1,10133046,
185,2,10133047,
185,3,10133048,
185,4,10133049,
185,5,10133050,
185,6,10133051,
185,7,10134001,
185,8,10134002,
185,9,10134003,
185,10,10134004,
186,1,10134007,
186,2,10134008,
186,3,10134009,
186,4,10134010,
186,5,10134011,
186,6,10134012,
186,7,10134013,
186,8,10134014,
186,9,10134015,
186,10,10134016,
187,1,10134017,
187,2,10134018,
187,3,10134019,
187,4,10134020,
187,5,10134021,
187,6,10134022,
187,7,10134023,
187,8,10134024,
187,9,10134025,
187,10,10134026,
188,1,10134027,
188,2,10134028,
188,3,10134029,
188,4,10134030,
188,5,10134031,
188,6,10134032,
188,7,10134033,
188,8,10134034,
188,9,10134035,
188,10,10134036,
189,1,10134037,
189,2,10134038,
189,3,10134039,
189,4,10134040,
189,5,10134041,
189,6,10134042,
189,7,10134043,
189,8,10134046,
189,9,10134047,
189,10,10134066,
190,1,10134048,
190,2,10134049,
190,3,10134058,
190,4,10134061,
190,5,10134062,
190,6,10134063,
190,7,10134064,
190,8,10134065,
190,9,10134050,
190,10,10134051,
191,1,10134052,
191,2,10134053,
191,3,10134054,
191,4,10134055,
191,5,10134056,
191,6,10134057,
191,7,10135001,
191,8,10135002,
191,9,10135003,
191,10,10135004,
192,1,10135005,
192,2,10135006,
192,3,10135007,
192,4,10135008,
192,5,10135009,
192,6,10135010,
192,7,10135011,
192,8,10135012,
192,9,10135013,
192,10,10135014,
193,1,10135015,
193,2,10135016,
193,3,10135017,
193,4,10135018,
193,5,10135019,
193,6,10135020,
193,7,10135021,
193,8,10135022,
193,9,10135023,
193,10,10135024,
194,1,10135025,
194,2,10135026,
194,3,10135027,
194,4,10135028,
194,5,10135029,
194,6,10135030,
194,7,10135031,
194,8,10135032,
194,9,10135033,
194,10,10135034,
195,1,10135035,
195,2,10135036,
195,3,10135037,
195,4,10135038,
195,5,10135039,
195,6,10135040,
195,7,10135041,
195,8,10135042,
195,9,10135043,
195,10,10135044,
196,1,10135045,
196,2,10135046,
196,3,10135047,
196,4,10135048,
196,5,10135049,
196,6,10135050,
196,7,10135051,
196,8,10135052,
196,9,10135053,
196,10,10135054,
197,1,10135055,
197,2,10136041,
197,3,10136042,
197,4,10136043,
197,5,10136044,
197,6,10136045,
197,7,10136046,
197,8,10136047,
197,9,10136048,
197,10,10136049,
198,1,10136050,
198,2,10136051,
198,3,10136052,
198,4,10136053,
198,5,10136001,
198,6,10136002,
198,7,10136003,
198,8,10136004,
198,9,10136005,
198,10,10136006,
199,1,10136007,
199,2,10136008,
199,3,10136009,
199,4,10136010,
199,5,10136011,
199,6,10136012,
199,7,10136013,
199,8,10136014,
199,9,10136015,
199,10,10136016,
200,1,10136017,
200,2,10136018,
200,3,10136019,
200,4,10136020,
200,5,10136021,
200,6,10136022,
200,7,10136023,
200,8,10136024,
200,9,10136025,
200,10,10136026,
201,1,10136027,
201,2,10136028,
201,3,10136029,
201,4,10136030,
201,5,10136031,
201,6,10136032,
201,7,10136033,
201,8,10136034,
201,9,10136035,
201,10,10136036,
202,1,10136037,
202,2,10136038,
202,3,10136039,
202,4,10136040,
202,5,10137001,
202,6,10137002,
202,7,10137003,
202,8,10137004,
202,9,10137005,
202,10,10137006,
203,1,10137007,
203,2,10137008,
203,3,10137009,
203,4,10137010,
203,5,10137011,
203,6,10137012,
203,7,10137013,
203,8,10137014,
203,9,10137015,
203,10,10137016,
204,1,10137017,
204,2,10137018,
204,3,10137019,
204,4,10137020,
204,5,10137021,
204,6,10137022,
204,7,10137023,
204,8,10137024,
204,9,10137025,
204,10,10137026,
205,1,10137027,
205,2,10137028,
205,3,10137029,
205,4,10137030,
205,5,10137031,
205,6,10137032,
205,7,10137033,
205,8,10137034,
205,9,10137035,
205,10,10137036,
206,1,10137037,
206,2,10137038,
206,3,10137039,
206,4,10137040,
206,5,10137041,
206,6,10137042,
206,7,10137043,
206,8,10137044,
206,9,10137045,
206,10,10137046,
207,1,10137047,
207,2,10137048,
207,3,10137049,
207,4,10137050,
207,5,10137051,
207,6,10137052,
207,7,10137053,
207,8,10137062,
207,9,10137063,
207,10,10137064,
208,1,10137054,
208,2,10137055,
208,3,10137056,
208,4,10137057,
208,5,10137058,
208,6,10137059,
208,7,10137060,
208,8,10137061,
208,9,10139001,
208,10,10139002,
209,1,10139003,
209,2,10139004,
209,3,10139005,
209,4,10139006,
209,5,10139007,
209,6,10139008,
209,7,10139009,
209,8,10139010,
209,9,10139011,
209,10,10139012,
210,1,10139013,
210,2,10139014,
210,3,10139015,
210,4,10139016,
210,5,10139017,
210,6,10139018,
210,7,10139019,
210,8,10139020,
210,9,10139021,
210,10,10139022,
211,1,10139023,
211,2,10139024,
211,3,10139025,
211,4,10139026,
211,5,10139027,
211,6,10139028,
211,7,10139029,
211,8,10139030,
211,9,10139031,
211,10,10139032,
212,1,10139033,
212,2,10139034,
212,3,10139035,
212,4,10139036,
212,5,10139037,
212,6,10139038,
212,7,10139039,
212,8,10139040,
212,9,10139041,
212,10,10139042,
213,1,10139043,
213,2,10139044,
213,3,10139045,
213,4,10139046,
213,5,10139047,
213,6,10139048,
213,7,10139049,
213,8,10139050,
213,9,10139051,
213,10,10139052,
214,1,10139053,
214,2,99970001,
214,3,99970002,
214,4,99970045,
214,5,99970046,
214,6,99970003,
214,7,99970004,
214,8,99970047,
214,9,99970048,
214,10,99970005,
215,1,99970006,
215,2,99970049,
215,3,99970050,
215,4,99970007,
215,5,99970008,
215,6,99970051,
215,7,99970052,
215,8,99970009,
215,9,99970010,
215,10,99970053,
216,1,99970054,
216,2,99970011,
216,3,99970012,
216,4,99970055,
216,5,99970056,
216,6,99970013,
216,7,99970014,
216,8,99970057,
216,9,99970058,
216,10,99970015,
217,1,99970016,
217,2,99970059,
217,3,99970060,
217,4,99970017,
217,5,99970018,
217,6,99970019,
217,7,99970020,
217,8,99970021,
217,9,99970022,
217,10,99970023,
218,1,99970024,
218,2,99970025,
218,3,99970026,
218,4,99970027,
218,5,99970028,
218,6,99970029,
218,7,99970030,
218,8,99970031,
218,9,99970032,
218,10,99970033,
219,1,99970034,
219,2,99970035,
219,3,99970036,
219,4,99970037,
219,5,99970038,
219,6,99970039,
219,7,99970040,
219,8,99970041,
219,9,99970042,
219,10,99970043,
220,1,99970044,
220,2,10140001,
220,3,10140002,
220,4,10140003,
220,5,10140004,
220,6,10140005,
220,7,10140006,
220,8,10140007,
220,9,10140008,
220,10,10140009,
221,1,10140010,
221,2,10140011,
221,3,10140012,
221,4,10140013,
221,5,10140014,
221,6,10140015,
221,7,10140016,
221,8,10140017,
221,9,10140018,
221,10,10140019,
222,1,10140020,
222,2,10140021,
222,3,10140022,
222,4,10140023,
222,5,10140024,
222,6,10140025,
222,7,10140026,
222,8,10140027,
222,9,10140028,
222,10,10140029,
223,1,10140030,
223,2,10140031,
223,3,10140032,
223,4,10140033,
223,5,10140034,
223,6,10140035,
223,7,10140036,
223,8,10140037,
223,9,10140038,
223,10,10140039,
224,1,10140040,
224,2,10140041,
224,3,10140042,
224,4,10140043,
224,5,10140044,
224,6,10140045,
224,7,10140046,
224,8,10140047,
224,9,10140048,
224,10,10140049,
225,1,10140050,
225,2,10140051,
225,3,10140052,
225,4,10140053,
225,5,10140054,
225,6,10140055,
225,7,10140056,
225,8,10141001,
225,9,10141002,
225,10,10141003,
226,1,10141004,
226,2,10141005,
226,3,10141006,
226,4,10141007,
226,5,10141008,
226,6,10141009,
226,7,10141010,
226,8,10141011,
226,9,10141012,
226,10,10141013,
227,1,10141014,
227,2,10141015,
227,3,10141016,
227,4,10141017,
227,5,10141018,
227,6,10141019,
227,7,10141020,
227,8,10141021,
227,9,10141022,
227,10,10141023,
228,1,10141024,
228,2,10141025,
228,3,10141026,
228,4,10141027,
228,5,10141028,
228,6,10141029,
228,7,10141030,
228,8,10141031,
228,9,10141032,
228,10,10141033,
229,1,10141034,
229,2,10141035,
229,3,10141036,
229,4,10141037,
229,5,10141038,
229,6,10141039,
229,7,10141040,
229,8,10141041,
229,9,10141042,
229,10,10141043,
230,1,10141044,
230,2,10141045,
230,3,10141046,
230,4,10141047,
230,5,10142001,
230,6,10142002,
230,7,10142003,
230,8,10142004,
230,9,10142005,
230,10,10142006,
231,1,10142007,
231,2,10142008,
231,3,10142009,
231,4,10142010,
231,5,10142011,
231,6,10142012,
231,7,10142013,
231,8,10142014,
231,9,10142015,
231,10,10142016,
232,1,10142017,
232,2,10142018,
232,3,10142019,
232,4,10142020,
232,5,10142021,
232,6,10142022,
232,7,10142023,
232,8,10142024,
232,9,10142025,
232,10,10142026,
233,1,10142027,
233,2,10142028,
233,3,10142029,
233,4,10142030,
233,5,10142031,
233,6,10142032,
233,7,10142047,
233,8,10142048,
233,9,10142035,
233,10,10142036,
234,1,10142037,
234,2,10142038,
234,3,10142039,
234,4,10142040,
234,5,10142041,
234,6,10142042,
234,7,10142043,
234,8,10142044,
234,9,10142045,
234,10,10142046,
235,1,99960001,
235,2,99960002,
235,3,99960003,
235,4,99960004,
235,5,99960005,
235,6,99960006,
235,7,99960007,
235,8,99960008,
235,9,99960009,
235,10,99960010,
236,1,99960011,
236,2,99960012,
236,3,99960013,
236,4,99960014,
236,5,99960015,
236,6,99960016,
236,7,99960017,
236,8,99960018,
236,9,99960019,
236,10,99960020,
237,1,99960021,
237,2,99960022,
237,3,99960023,
237,4,99960024,
237,5,99960025,
237,6,99960026,
237,7,99960027,
237,8,99960028,
237,9,99960029,
237,10,99960030,
238,1,99960031,
238,2,99960032,
238,3,99960033,
238,4,99960034,
238,5,99960035,
238,6,99960036,
238,7,99960037,
238,8,99960038,
238,9,10143001,
238,10,10143002,
239,1,10143003,
239,2,10143004,
239,3,10143005,
239,4,10143006,
239,5,10143007,
239,6,10143008,
239,7,10143009,
239,8,10143010,
239,9,10143011,
239,10,10143012,
240,1,10143013,
240,2,10143014,
240,3,10143015,
240,4,10143016,
240,5,10143017,
240,6,10143018,
240,7,10143019,
240,8,10143020,
240,9,10143021,
240,10,10143022,
241,1,10143023,
241,2,10143024,
241,3,10143025,
241,4,10143026,
241,5,10143072,
241,6,10143073,
241,7,10143029,
241,8,10143030,
241,9,10143031,
241,10,10143032,
242,1,10143033,
242,2,10143034,
242,3,10143027,
242,4,10143028,
242,5,10143035,
242,6,10143036,
242,7,10143037,
242,8,10143038,
242,9,10143039,
242,10,10143040,
243,1,10143057,
243,2,10143058,
243,3,10143059,
243,4,10143060,
243,5,10143061,
243,6,10143062,
243,7,10143063,
243,8,10143064,
243,9,10143068,
243,10,10143069,
244,1,10143070,
244,2,10143071,
244,3,10143049,
244,4,10143050,
244,5,10143051,
244,6,10143052,
244,7,10143053,
244,8,10143054,
244,9,10143055,
244,10,10143056,
245,1,10143076,
245,2,10143077,
245,3,10144001,
245,4,10144002,
245,5,10144003,
245,6,10144004,
245,7,10144005,
245,8,10144006,
245,9,10144007,
245,10,10144008,
246,1,10144009,
246,2,10144010,
246,3,10144011,
246,4,10144012,
246,5,10144013,
246,6,10144014,
246,7,10144015,
246,8,10144016,
246,9,10144017,
246,10,10144018,
247,1,10144019,
247,2,10144020,
247,3,10144021,
247,4,10144022,
247,5,10144023,
247,6,10144024,
247,7,10144025,
247,8,10144026,
247,9,10144027,
247,10,10144028,
248,1,10144029,
248,2,10144030,
248,3,10144031,
248,4,10144032,
248,5,10144033,
248,6,10144034,
248,7,10144035,
248,8,10144036,
248,9,10144037,
248,10,10144038,
249,1,10144039,
249,2,10144040,
249,3,10144041,
249,4,10144042,
249,5,10144043,
249,6,10144044,
249,7,10144045,
249,8,10144046,
249,9,10144047,
249,10,10144048,
250,1,10144049,
250,2,10144050,
250,3,10145001,
250,4,10145002,
250,5,10145003,
250,6,10145004,
250,7,10145005,
250,8,10145006,
250,9,10145007,
250,10,10145008,
251,1,10145009,
251,2,10145010,
251,3,10145011,
251,4,10145012,
251,5,10145013,
251,6,10145014,
251,7,10145015,
251,8,10145016,
251,9,10145017,
251,10,10145018,
252,1,10145019,
252,2,10145020,
252,3,10145021,
252,4,10145022,
252,5,10145023,
252,6,10145024,
252,7,10145025,
252,8,10145026,
252,9,10145027,
252,10,10145028,
253,1,10145034,
253,2,10145035,
253,3,10145036,
253,4,10145037,
253,5,10145038,
253,6,10145039,
253,7,10145040,
253,8,10145041,
253,9,10145042,
253,10,10145043,
254,1,10145044,
254,2,10145045,
254,3,10145046,
254,4,10145047,
254,5,10145048,
254,6,10145049,
254,7,10145050,
254,8,10145051,
254,9,10145052,
254,10,10145053,
255,1,10145070,
255,2,10145054,
255,3,10145055,
255,4,10145056,
255,5,10145057,
255,6,10145058,
255,7,10145059,
255,8,10145060,
255,9,10145061,
255,10,10146006,
256,1,10146007,
256,2,10146008,
256,3,10146009,
256,4,10146010,
256,5,10146011,
256,6,10146012,
256,7,10146013,
256,8,10146014,
256,9,10146015,
256,10,10146016,
257,1,10146017,
257,2,10146018,
257,3,10146019,
257,4,10146020,
257,5,10146021,
257,6,10146022,
257,7,10146023,
257,8,10146024,
257,9,10146025,
257,10,10146026,
258,1,10146027,
258,2,10146028,
258,3,10146029,
258,4,10146030,
258,5,10146036,
258,6,10146037,
258,7,10146038,
258,8,10146039,
258,9,10146040,
258,10,10146041,
259,1,10146042,
259,2,10146043,
259,3,10146044,
259,4,10146045,
259,5,10146046,
259,6,10146047,
259,7,10146048,
259,8,10146049,
259,9,10146050,
259,10,10146051,
260,1,10147001,
260,2,10147002,
260,3,10147003,
260,4,10147004,
260,5,10147005,
260,6,10147006,
260,7,10147007,
260,8,10147008,
260,9,10147009,
260,10,10147010,
261,1,10147011,
261,2,10147012,
261,3,10147013,
261,4,10147014,
261,5,10147015,
261,6,10147016,
261,7,10147017,
261,8,10147018,
261,9,10147019,
261,10,10147020,
262,1,10147021,
262,2,10147022,
262,3,10147023,
262,4,10147024,
262,5,10147025,
262,6,10147026,
262,7,10147027,
262,8,10147028,
262,9,10147029,
262,10,10147030,
263,1,10147031,
263,2,10147032,
263,3,10147033,
263,4,10147034,
263,5,10147035,
263,6,10147036,
263,7,10147037,
263,8,10147038,
263,9,10147039,
263,10,10147040,
264,1,10147041,
264,2,10147042,
264,3,10147043,
264,4,10147044,
264,5,10147045,
264,6,10147046,
264,7,10147047,
264,8,10147048,
264,9,10147049,
264,10,10147050,
265,1,10147051,
265,2,10147052,
265,3,10147053,
265,4,10147054,
265,5,10147055,
265,6,10147056,
265,7,10147057,
265,8,10147058,
265,9,10147059,
265,10,10147060,
266,1,10147061,
266,2,10147064,
266,3,10147065,
266,4,10147066,
266,5,10147067,
266,6,10147068,
266,7,10147069,
266,8,10147070,
266,9,10147071,
266,10,10147072,
267,1,10147073,
267,2,10147074,
267,3,10147075,
267,4,10147076,
267,5,10147077,
267,6,10147078,
267,7,10147079,
267,8,10147080,
267,9,10147081,
267,10,10147082,
268,1,10147083,
268,2,10147084,
268,3,10147085,
268,4,10147086,
268,5,10147087,
268,6,10147062,
268,7,10147063,
268,8,10148001,
268,9,10148002,
268,10,10148003,
269,1,10148004,
269,2,10148005,
269,3,10148006,
269,4,10148007,
269,5,10148008,
269,6,10148009,
269,7,10148010,
269,8,10148011,
269,9,10148012,
269,10,10148013,
270,1,10148014,
270,2,10148015,
270,3,10148016,
270,4,10148017,
270,5,10148018,
270,6,10148019,
270,7,10148020,
270,8,10148021,
270,9,10148022,
270,10,10148023,
271,1,10148024,
271,2,10148025,
271,3,10148026,
271,4,10148027,
271,5,10148028,
271,6,10148029,
271,7,10148030,
271,8,10148052,
271,9,10148053,
271,10,10148054,
272,1,10148055,
272,2,10148056,
272,3,10148057,
272,4,10148058,
272,5,10148059,
272,6,10148044,
272,7,10148045,
272,8,10148046,
272,9,10148047,
272,10,10148048,
273,1,10148049,
273,2,10148050,
273,3,10148051,
273,4,10148060,
273,5,10148061,
273,6,10148031,
273,7,10148032,
273,8,10148033,
273,9,10148034,
273,10,10148035,
274,1,99961001,
274,2,99961002,
274,3,99961013,
274,4,99961014,
274,5,99961003,
274,6,99961004,
274,7,99961015,
274,8,99961016,
274,9,99961005,
274,10,99961006,
275,1,99961017,
275,2,99961018,
275,3,99961007,
275,4,99961008,
275,5,99961019,
275,6,99961020,
275,7,99961009,
275,8,99961010,
275,9,99961011,
275,10,99961012,
276,1,10149001,
276,2,10149002,
276,3,10149003,
276,4,10149004,
276,5,10149005,
276,6,10149006,
276,7,10149007,
276,8,10149008,
276,9,10149009,
276,10,10149010,
277,1,10149011,
277,2,10149012,
277,3,10149013,
277,4,10149014,
277,5,10149015,
277,6,10149016,
277,7,10149017,
277,8,10149018,
277,9,10149019,
277,10,10149020,
278,1,10149021,
278,2,10149022,
278,3,10149023,
278,4,10149024,
278,5,10149025,
278,6,10149026,
278,7,10149027,
278,8,10149028,
278,9,10149029,
278,10,10149030,
279,1,10149031,
279,2,10149032,
279,3,10149033,
279,4,10149034,
279,5,10149035,
279,6,10149036,
279,7,10149037,
279,8,10149038,
279,9,10149039,
279,10,10149053,
280,1,10149054,
280,2,10149045,
280,3,10149046,
280,4,10149047,
280,5,10149048,
280,6,10149049,
280,7,10149050,
280,8,10149051,
280,9,10149052,
280,10,10150001,
281,1,10150002,
281,2,10150006,
281,3,10150007,
281,4,10150011,
281,5,10150012,
281,6,10150016,
281,7,10150017,
281,8,10150041,
281,9,10150042,
281,10,10150043,
282,1,10150044,
282,2,10150045,
282,3,10150046,
282,4,10150047,
282,5,10150048,
282,6,10150049,
282,7,10150050,
282,8,10150051,
282,9,10150052,
282,10,10150053,
283,1,10150054,
283,2,10150055,
283,3,10150056,
283,4,10150057,
283,5,10150058,
283,6,10150059,
283,7,10150060,
283,8,10150061,
283,9,10150062,
283,10,10150072,
284,1,10150073,
284,2,10150021,
284,3,10150022,
284,4,10150023,
284,5,10150024,
284,6,10150026,
284,7,10150027,
284,8,10150028,
284,9,10150029,
284,10,10150031,
285,1,10150032,
285,2,10150033,
285,3,10150034,
285,4,10150036,
285,5,10150037,
285,6,10150038,
285,7,10150039,
285,8,10150101,
285,9,10150102,
285,10,10150103,
286,1,10150104,
286,2,10150105,
286,3,10150106,
286,4,10150107,
286,5,10150108,
286,6,10150109,
286,7,10150110,
286,8,10150111,
286,9,10150112,
286,10,10150113,
287,1,99962001,
287,2,99962002,
287,3,99962003,
287,4,99962004,
287,5,99962005,
287,6,99962006,
287,7,99962007,
287,8,99962008,
287,9,99962009,
287,10,99962010,
288,1,99962011,
288,2,99962012,
288,3,99962013,
288,4,99962014,
288,5,99962015,
288,6,99962016,
288,7,99962017,
288,8,99962018,
288,9,99962019,
288,10,99962047,
289,1,99962020,
289,2,99962021,
289,3,99962022,
289,4,99962048,
289,5,99962023,
289,6,99962024,
289,7,99962025,
289,8,99962049,
289,9,99962026,
289,10,99962027,
290,1,99962028,
290,2,99962050,
290,3,99962029,
290,4,99962030,
290,5,99962031,
290,6,99962032,
290,7,99962033,
290,8,99962034,
290,9,99962035,
290,10,99962036,
291,1,99962037,
291,2,99962038,
291,3,99962039,
291,4,99962040,
291,5,99962041,
291,6,99962042,
291,7,99962043,
291,8,99962044,
291,9,99962045,
291,10,99962046,
292,1,10151301,
292,2,10151302,
292,3,10151303,
292,4,10151304,
292,5,10151305,
292,6,10151306,
292,7,10151307,
292,8,10151308,
292,9,10151309,
292,10,10151310,
293,1,10151311,
293,2,10151312,
293,3,10151313,
293,4,10151314,
293,5,10151315,
293,6,10151316,
293,7,10152001,
293,8,10152002,
293,9,10152003,
293,10,10152004,
294,1,10152005,
294,2,10152006,
294,3,10152007,
294,4,10152008,
294,5,10152009,
294,6,10152010,
294,7,10152011,
294,8,10152012,
294,9,10152013,
294,10,10152014,
295,1,10152015,
295,2,10152016,
295,3,10152017,
295,4,10152018,
295,5,10152019,
295,6,10152020,
295,7,10152021,
295,8,10152022,
295,9,10152023,
295,10,10152024,
296,1,10152025,
296,2,10152026,
296,3,10152027,
296,4,10152028,
296,5,10152029,
296,6,10152030,
296,7,10152031,
296,8,10152032,
296,9,10152033,
296,10,10152034,
297,1,10152035,
297,2,10152036,
297,3,10152037,
297,4,10152038,
297,5,10152039,
297,6,10152040,
297,7,10152041,
297,8,10152042,
297,9,10152043,
297,10,10152044,
298,1,10152045,
298,2,10152046,
298,3,10152047,
298,4,10152048,
298,5,10153001,
298,6,10153002,
298,7,10153003,
298,8,10153004,
298,9,10153005,
298,10,10153006,
299,1,10153007,
299,2,10153008,
299,3,10153009,
299,4,10153010,
299,5,10153011,
299,6,10153012,
299,7,10153013,
299,8,10153014,
299,9,10153015,
299,10,10153016,
300,1,10153033,
300,2,10153034,
300,3,10153035,
300,4,10153036,
300,5,10153037,
300,6,10153038,
300,7,10153039,
300,8,10153040,
300,9,10153041,
300,10,10153042,
301,1,10153043,
301,2,10153044,
301,3,10153045,
301,4,10153046,
301,5,10153047,
301,6,10153048,
301,7,10153017,
301,8,10153018,
301,9,10153019,
301,10,10153020,
302,1,10153021,
302,2,10153022,
302,3,10153023,
302,4,10153024,
302,5,10153025,
302,6,10153026,
302,7,10153027,
302,8,10153028,
302,9,10153029,
302,10,10153030,
303,1,10153031,
303,2,10153032,
303,3,10153053,
303,4,10153054,
303,5,10153055,
303,6,10153056,
303,7,10153057,
303,8,10153058,
303,9,10153059,
303,10,10153060,
304,1,10153061,
304,2,10153062,
304,3,10153063,
304,4,10153064,
304,5,10153065,
304,6,10153066,
304,7,10153067,
304,8,10153068,
304,9,10154033,
304,10,10154034,
305,1,10154035,
305,2,10154036,
305,3,10154037,
305,4,10154038,
305,5,10154039,
305,6,10154040,
305,7,10154041,
305,8,10154042,
305,9,10154043,
305,10,10154044,
306,1,10154045,
306,2,10154046,
306,3,10154047,
306,4,10154048,
306,5,10154069,
306,6,10154070,
306,7,10154071,
306,8,10154072,
306,9,10154073,
306,10,10154074,
307,1,10154075,
307,2,10154076,
307,3,10154077,
307,4,10154078,
307,5,10154079,
307,6,10154080,
307,7,10154081,
307,8,10154082,
307,9,10154083,
307,10,10154084,
308,1,10155053,
308,2,10155054,
308,3,10155055,
308,4,10155056,
308,5,10155057,
308,6,10155058,
308,7,10155059,
308,8,10155060,
308,9,10155061,
308,10,10155062,
309,1,10155063,
309,2,10155064,
309,3,10155065,
309,4,10155066,
309,5,10155067,
309,6,10155068,
309,7,10155017,
309,8,10155018,
309,9,10155019,
309,10,10155020,
310,1,10155021,
310,2,10155022,
310,3,10155023,
310,4,10155024,
310,5,10155025,
310,6,10155026,
310,7,10155027,
310,8,10155028,
310,9,10155029,
310,10,10155030,
311,1,10155031,
311,2,10155032,
311,3,10155001,
311,4,10155002,
311,5,10155003,
